label,uri
"LUSTER",https://gcmdservices.gsfc.nasa.gov/kms/concept/e1e3f623-5a18-46a8-b8a8-22c082b643ad
"HYDRAULIC ACTION",https://gcmdservices.gsfc.nasa.gov/kms/concept/8fde8c6c-97d4-41a6-9e20-f862faafcd88
"HYDRAULIC ACTION",https://gcmdservices.gsfc.nasa.gov/kms/concept/ebb8ef06-0f73-48eb-bc22-47f36a729bc6
"DISCHARGE/FLOW",https://gcmdservices.gsfc.nasa.gov/kms/concept/36a2999b-2255-4d4e-a249-40df3b7b3aaf
"DIATOMS",https://gcmdservices.gsfc.nasa.gov/kms/concept/a14cfe48-9554-4e7c-9a2b-bf72834eafba
"ELECTRICAL ANOMALIES",https://gcmdservices.gsfc.nasa.gov/kms/concept/d55d29e8-9015-4c23-b137-528eb298aa49
"MICROWAVE IMAGERY",https://gcmdservices.gsfc.nasa.gov/kms/concept/af234b68-d1ad-40ea-aa1b-6bc2c8e5b467
"MAAR",https://gcmdservices.gsfc.nasa.gov/kms/concept/c1f717e9-da1a-4e85-ba2b-01986d53674d
"SOLAR WINDS",https://gcmdservices.gsfc.nasa.gov/kms/concept/65475fcc-b696-4b02-a812-f12364046c4c
"COLOR",https://gcmdservices.gsfc.nasa.gov/kms/concept/bac88c42-fd8d-4970-878d-441977f00ffc
"STRATOSPHERIC CLOUDS (OBSERVED/ANALYZED)",https://gcmdservices.gsfc.nasa.gov/kms/concept/d6ab88c0-5a97-4f5e-8e4c-1c6fc6ed368f
"PARTICULATE MATTER",https://gcmdservices.gsfc.nasa.gov/kms/concept/548a3f85-bf22-473b-b641-45c32d9c6a0c
"SEA BREEZES",https://gcmdservices.gsfc.nasa.gov/kms/concept/9cb8f1a4-5d2b-40d1-a7c3-c608bbe20a0b
"UNIVERSAL DESCRIPTION, DISCOVERY AND INTEGRATION (UDDI) SERVICE",https://gcmdservices.gsfc.nasa.gov/kms/concept/f2115645-e006-414a-bfb6-083d4874a665
"LAVA PLAIN",https://gcmdservices.gsfc.nasa.gov/kms/concept/dc18db4d-2184-453e-ba0a-86c83a9bede0
"TNH",https://gcmdservices.gsfc.nasa.gov/kms/concept/8eac6c91-8af5-4b1b-8dc3-89cd4871915f
"CLOUD RADIATIVE FORCING",https://gcmdservices.gsfc.nasa.gov/kms/concept/345ab082-59ac-4649-9a2a-a3bef0d26a06
"SOIL MOISTURE",https://gcmdservices.gsfc.nasa.gov/kms/concept/27dd85c2-3403-438d-8b0c-8d424df60468
"ORGANIC MATTER",https://gcmdservices.gsfc.nasa.gov/kms/concept/9c90825c-a35f-4165-8248-e90ab869f8ec
"VIRUSES",https://gcmdservices.gsfc.nasa.gov/kms/concept/85510ccc-5dc9-44ff-871e-775e856714f8
"MICROFOSSILS",https://gcmdservices.gsfc.nasa.gov/kms/concept/6e872413-f416-43dd-a960-942ef892ae59
"ANGLE OF INCLINATION",https://gcmdservices.gsfc.nasa.gov/kms/concept/025d666e-a5bb-48b5-9890-129e60104611
"PLATE BOUNDARIES",https://gcmdservices.gsfc.nasa.gov/kms/concept/4adc15b8-0c18-4ccd-a6ec-75be82df5359
"PROTON FLUX",https://gcmdservices.gsfc.nasa.gov/kms/concept/a2443978-118d-4f7c-843d-dcd0059fe949
"NUTRIENTS",https://gcmdservices.gsfc.nasa.gov/kms/concept/1459a39c-4781-4481-8bd9-510762865efd
"VIEWING GEOMETRY",https://gcmdservices.gsfc.nasa.gov/kms/concept/14edbe59-89a4-45ce-ac61-0143fb311da6
"VISUALIZATION/IMAGE PROCESSING",https://gcmdservices.gsfc.nasa.gov/kms/concept/4698858b-bf39-4a2c-9713-e41757739eff
"GLACIAL GROWTH",https://gcmdservices.gsfc.nasa.gov/kms/concept/6743ea28-0a6e-4d47-ac71-0c9cdf24ac25
"GAS/AEROSOL DISPERSION",https://gcmdservices.gsfc.nasa.gov/kms/concept/b1d60933-636e-48ff-b5a8-43afa60602f3
"SOIL TEMPERATURE",https://gcmdservices.gsfc.nasa.gov/kms/concept/0546b91a-294d-45d9-8b45-76aaad0cc024
"SEA FANS/SEA WHIPS",https://gcmdservices.gsfc.nasa.gov/kms/concept/c6b33bb7-9714-42b5-88d2-f16bd671b799
"PRECIPITATION AMOUNT",https://gcmdservices.gsfc.nasa.gov/kms/concept/cad5c02a-e771-434e-bef6-8dced38a68e8
"RAIN STORMS",https://gcmdservices.gsfc.nasa.gov/kms/concept/f6b314db-883a-4493-9140-b6afda949710
"HARDNESS",https://gcmdservices.gsfc.nasa.gov/kms/concept/70cebb8f-f944-4fe7-be08-1ed86d50eb7c
"GINKGO",https://gcmdservices.gsfc.nasa.gov/kms/concept/fdccf097-a2e1-4494-ad47-1c96a4d0d99a
"FREEZE/THAW",https://gcmdservices.gsfc.nasa.gov/kms/concept/24b052b6-5996-496d-9e91-1fdbda5897da
"ALTOCUMULUS",https://gcmdservices.gsfc.nasa.gov/kms/concept/01021105-60ed-479a-a35b-faa73e286264
"CLOUD MASS FLUX",https://gcmdservices.gsfc.nasa.gov/kms/concept/804fb334-1c74-4070-bd5f-848014a6e220
"SOIL ABSORPTION",https://gcmdservices.gsfc.nasa.gov/kms/concept/e497c2e3-cd21-4af9-9a5d-91da4e201631
"DIMETHYL SULFIDE",https://gcmdservices.gsfc.nasa.gov/kms/concept/5d282de9-162a-4aeb-a48d-4569fbbd5205
